IP地址,端口,机房,平均延迟,下载速度 (MB/s)
8.222.221.197,2052,SG,182,12.46
8.222.214.13,2086,SG,204,12.42
8.222.130.137,8080,SG,182,12.42
8.222.215.228,80,SG,187,12.37
8.222.212.116,2086,SG,200,12.35
8.219.222.8,2095,SG,246,12.34
8.219.142.191,8080,SG,255,12.32
8.222.169.182,2095,SG,185,12.32
8.219.129.38,8880,SG,270,12.32
8.222.182.10,8880,SG,169,12.31
8.222.162.45,2095,SG,209,12.29
8.222.214.13,2052,SG,194,12.25
8.222.137.192,80,SG,180,12.2
8.222.136.247,2095,SG,193,12.19
8.219.73.21,2095,SG,195,12.17
8.222.240.47,80,SG,194,12.14
8.222.131.102,8880,SG,197,12.11
8.222.144.50,2082,SG,191,12.08
8.222.137.166,2082,SG,200,12.05
8.222.129.32,2095,SG,176,12.04
8.222.229.22,2052,SG,174,12.02
8.219.42.72,2052,SG,184,12
8.222.145.110,2095,SG,174,11.95
47.245.15.236,8880,JP,141,11.91
8.222.219.252,2095,SG,197,11.78
8.219.228.157,80,SG,237,11.69
8.219.65.191,80,SG,178,11.69
8.222.221.197,8880,SG,207,11.63
8.222.129.245,2086,SG,193,11.59
8.222.249.190,8880,SG,206,11.58
8.222.249.190,2095,SG,196,11.56
8.222.162.45,2052,SG,214,11.55
8.219.92.89,8880,SG,209,11.49
8.222.137.178,2086,SG,195,11.45
47.245.30.208,2086,JP,140,11.44
8.222.224.162,8080,SG,222,11.4
8.222.138.164,2095,SG,175,11.4
8.222.162.45,8080,SG,196,11.39
8.219.65.191,2052,SG,198,11.31
8.222.164.44,2086,SG,198,11.3
8.222.188.56,8080,SG,192,11.23
8.222.134.170,2095,SG,209,11.2
8.222.129.245,8080,SG,189,11.19
8.222.140.185,2082,SG,193,11.14
8.222.167.8,8880,SG,183,11.14
8.219.170.223,2082,SG,231,11.13
8.222.249.190,8080,SG,193,11.11
8.222.168.155,2082,SG,196,11.08
8.222.169.182,8080,SG,179,11.06
8.222.159.252,2095,SG,181,11.04
8.222.160.61,8080,SG,209,10.95
8.222.184.198,2082,SG,186,10.92
8.219.129.38,2082,SG,242,10.87
8.219.173.195,8880,SG,233,10.85
8.222.129.32,2052,SG,213,10.85
8.222.212.172,8880,SG,199,10.84
8.222.159.252,2052,SG,191,10.81
8.222.227.191,2086,SG,204,10.69
8.222.219.252,8080,SG,184,10.66
8.222.219.252,2086,SG,184,10.65
8.222.229.22,2082,SG,195,10.63
8.222.133.247,8080,SG,185,10.5
8.219.55.31,80,JP,340,10.45
8.222.150.197,2082,SG,199,10.45
8.222.167.147,2095,SG,196,10.38
8.222.187.107,8080,SG,184,10.36
8.222.224.163,8880,SG,187,10.32
8.222.144.219,2082,SG,179,10.31
8.222.240.47,8880,SG,189,10.29
8.222.211.124,8880,SG,172,10.29
8.222.129.32,2086,SG,183,10.26
8.222.160.61,8880,SG,185,10.23
8.222.238.141,2052,SG,182,10.21
8.222.224.162,2095,SG,178,10.15
8.222.145.164,2095,SG,201,10.15
8.222.168.234,2052,SG,194,10.12
8.222.155.242,8080,SG,200,10.09
8.222.137.178,2095,SG,164,10.07
8.219.142.191,2082,SG,267,10.05
8.219.73.21,2052,SG,191,9.99
8.222.229.102,8880,SG,189,9.98
8.222.240.47,2082,SG,197,9.97
8.222.248.188,2095,SG,179,9.92
8.222.133.247,8880,SG,176,9.9
8.222.215.228,8080,SG,175,9.81
8.219.228.157,8880,SG,230,9.8
8.222.133.247,2086,SG,188,9.8
8.222.187.107,2082,SG,209,9.79
8.222.184.198,8080,SG,176,9.77
8.219.42.72,8080,SG,179,9.76
8.222.133.247,2095,SG,198,9.74
8.219.74.35,8080,SG,204,9.7
8.222.244.192,8880,SG,199,9.68
8.222.137.166,2052,SG,193,9.67
8.222.224.162,80,SG,186,9.58
8.219.202.130,8880,SG,264,9.53
8.222.255.15,2086,SG,182,9.52
8.222.214.13,80,SG,200,9.51
8.222.169.182,2086,SG,196,9.5
8.222.219.252,2052,SG,187,9.42
8.222.153.11,2095,JP,314,9.4
8.222.188.56,2052,SG,205,9.4
8.222.138.164,8080,SG,192,9.33
8.219.170.232,2082,SG,228,9.29
8.222.168.24,2082,SG,188,9.27
8.222.138.164,80,SG,202,9.26
8.222.237.131,2052,SG,196,9.22
8.219.60.130,2082,SG,191,9.22
8.210.3.24,2095,HK,129,9.22
8.222.137.166,2095,SG,195,9.21
8.222.224.162,8880,SG,185,9.19
8.222.155.242,2082,SG,194,9.12
8.222.229.22,2095,SG,188,9.11
8.222.208.38,8880,SG,190,9.1
8.222.229.102,2052,SG,193,9.07
8.222.182.10,8080,SG,187,9.01
8.222.175.78,8080,SG,193,8.99
8.222.154.50,2086,SG,180,8.98
8.222.159.252,8080,SG,183,8.96
8.222.137.178,2082,SG,170,8.7
8.222.208.38,2082,SG,198,8.68
8.222.137.166,8880,SG,185,8.67
8.222.224.162,2052,SG,177,8.62
8.222.229.22,8880,SG,170,8.58
8.222.136.196,2082,SG,217,8.54
8.222.162.45,8880,SG,210,8.5
8.222.137.192,2086,SG,207,8.49
8.222.180.86,2082,SG,204,8.44
8.222.130.137,2052,SG,176,8.44
8.222.160.176,2095,SG,203,8.41
8.222.146.222,2086,SG,185,8.41
8.222.159.252,8880,SG,186,8.37
8.222.160.61,2082,SG,181,8.32
8.222.174.108,80,SG,183,8.29
8.219.73.21,80,SG,193,8.21
8.219.202.130,2082,SG,274,8.18
8.222.129.32,80,SG,185,8.17
8.219.60.130,8080,SG,201,8.15
8.222.160.176,8080,SG,171,8.11
8.222.136.247,2082,SG,208,8.08
8.219.201.245,2052,SG,290,8.07
8.222.168.234,2095,SG,180,7.95
8.222.167.8,2095,SG,205,7.91
8.222.248.188,2052,SG,203,7.8
8.222.147.203,2095,SG,197,7.68
8.222.224.163,2086,SG,203,7.67
8.222.154.227,2095,SG,208,7.62
8.222.145.164,2082,SG,195,7.55
8.222.150.197,8080,SG,200,7.47
8.222.237.131,8080,SG,175,7.4
8.222.238.141,2082,SG,182,7.33
8.219.173.239,2095,SG,241,7.33
47.245.15.236,2095,JP,120,7.23
8.222.130.137,2082,SG,190,7.15
8.219.222.8,2086,SG,245,7.15
8.219.55.31,8880,JP,338,7.13
8.222.169.182,2052,SG,195,7.12
8.222.160.176,2082,SG,192,7.07
8.222.153.11,80,JP,369,7.06
8.219.60.68,2082,SG,210,6.99
8.222.154.50,2082,SG,196,6.89
8.222.249.190,2082,SG,214,6.88
8.222.182.10,2095,SG,201,6.78
8.222.255.15,2082,SG,193,6.56
8.222.136.196,8880,SG,182,6.49
8.222.212.219,2095,SG,199,6.43
8.222.208.38,2095,SG,196,6.16
8.222.215.228,2052,SG,213,6.12
8.219.60.68,8880,SG,210,6.03
8.222.164.44,2052,SG,207,6.01
8.219.170.232,8080,SG,236,5.94
8.222.219.252,80,SG,194,5.9
8.222.160.176,2086,SG,194,5.9
8.222.145.164,80,SG,196,5.83
8.219.170.223,8880,SG,239,5.8
8.219.129.38,2086,SG,264,5.68
8.219.153.237,8880,JP,354,5.64
8.219.153.237,8080,JP,406,5.61
8.222.188.56,2086,SG,214,5.6
8.219.60.130,2052,SG,198,5.57
8.219.78.222,2095,SG,196,5.57
8.222.162.45,80,SG,201,5.55
8.219.55.31,2082,JP,349,5.48
8.219.153.237,2082,JP,385,5.23
8.219.170.232,2052,SG,251,5.22
8.219.55.31,2095,JP,372,5.21
8.222.146.222,2052,SG,195,5.19
8.219.201.245,2086,SG,237,5.08
8.219.228.157,2082,SG,282,5.05
8.219.55.31,2086,JP,353,4.89
8.218.65.237,2082,HK,128,4.86
8.219.70.117,2086,SG,184,4.78
8.222.146.222,2095,SG,203,4.77
8.222.229.102,8080,SG,204,4.66
8.222.229.102,2086,SG,195,4.35
8.219.173.195,2082,SG,235,4.22
8.222.129.32,8880,SG,190,4.12
8.222.167.8,2086,SG,202,3.83
8.219.222.8,8080,SG,245,3.73
8.222.182.10,2052,SG,179,3.63
8.219.70.117,2082,SG,180,3.54
8.219.153.237,2052,JP,440,3.51
